text,label
Government announces new education policy reforms.,FAKE
Rumors about vaccine side effects go viral online.,FAKE
Experts discuss economy growth trends for next year.,REAL
Experts discuss economy growth trends for next year.,FAKE
Government announces new education policy reforms.,FAKE
Rumors about vaccine side effects are proven false.,REAL
Government announces new education policy reforms.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Celebrity announces new charity initiative.,REAL
Government announces new education policy reforms.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Rumors about vaccine side effects are proven false.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Report shows stock market steady growth over year.,REAL
Health officials warn about flu season this winter.,REAL
Government announces new education policy reforms.,FAKE
Experts discuss economy growth trends for next year.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
Celebrity announces new charity initiative.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Experts discuss economy growth trends for next year.,FAKE
Rumors about vaccine side effects are proven false.,REAL
Experts discuss economy growth trends for next year.,FAKE
Experts discuss economy growth trends for next year.,FAKE
New research published in peer-reviewed journal.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Health officials warn about flu season this winter.,REAL
Celebrity announces new charity initiative.,REAL
Experts discuss economy growth trends for next year.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
Report shows stock market steady growth over year.,REAL
Rumors about vaccine side effects are proven false.,REAL
Government announces new education policy reforms.,FAKE
Government announces new education policy reforms.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Rumors about vaccine side effects are proven false.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
New research published in peer-reviewed journal.,REAL
New research published in peer-reviewed journal.,REAL
Scientists report discovery of new treatment for flu.,REAL
Celebrity announces new charity initiative.,REAL
"Report claims stock market crash, economists deny it.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
Scientists report discovery of new treatment for flu.,REAL
Experts discuss economy growth trends for next year.,FAKE
Experts discuss economy growth trends for next year.,FAKE
Scientists report discovery of new treatment for flu.,REAL
"Report claims stock market crash, economists deny it.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
New research published in peer-reviewed journal.,REAL
Government announces new education policy reforms.,FAKE
Experts discuss economy growth trends for next year.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Report shows stock market steady growth over year.,REAL
Government announces new education policy reforms.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
Scientists report discovery of new treatment for flu.,REAL
Government announces new education policy reforms.,FAKE
New research found to be fabricated according to reports.,FAKE
Health officials warn about flu season this winter.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Rumors about vaccine side effects are proven false.,REAL
Experts discuss economy growth trends for next year.,FAKE
New research published in peer-reviewed journal.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
New research published in peer-reviewed journal.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Report shows stock market steady growth over year.,REAL
Rumors about vaccine side effects go viral online.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
"Health officials warn about flu season, but post is fake.",FAKE
New research published in peer-reviewed journal.,REAL
Rumors about vaccine side effects are proven false.,REAL
Government announces new education policy reforms.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Government announces new education policy reforms.,FAKE
Government announces new education policy reforms.,REAL
Government announces new education policy reforms.,REAL
Experts discuss economy growth trends for next year.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
New research found to be fabricated according to reports.,FAKE
New research published in peer-reviewed journal.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Report shows stock market steady growth over year.,REAL
Report shows stock market steady growth over year.,REAL
Government announces new education policy reforms.,REAL
Experts discuss economy growth trends for next year.,FAKE
Health officials warn about flu season this winter.,REAL
Experts discuss economy growth trends for next year.,FAKE
Rumors about vaccine side effects are proven false.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Celebrity announces new charity initiative.,REAL
Experts discuss economy growth trends for next year.,REAL
Experts discuss economy growth trends for next year.,REAL
Government announces new education policy reforms.,REAL
Rumors about vaccine side effects go viral online.,FAKE
New research published in peer-reviewed journal.,REAL
Report shows stock market steady growth over year.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Report shows stock market steady growth over year.,REAL
New research published in peer-reviewed journal.,REAL
New research published in peer-reviewed journal.,REAL
Celebrity announces new charity initiative.,REAL
Government announces new education policy reforms.,REAL
Government announces new education policy reforms.,FAKE
Government announces new education policy reforms.,FAKE
New research published in peer-reviewed journal.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,REAL
Experts discuss economy growth trends for next year.,FAKE
Rumors about vaccine side effects go viral online.,FAKE
Rumors about vaccine side effects are proven false.,REAL
Government announces new education policy reforms.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Report shows stock market steady growth over year.,REAL
Celebrity announces new charity initiative.,REAL
Experts discuss economy growth trends for next year.,REAL
Experts discuss economy growth trends for next year.,REAL
Rumors about vaccine side effects are proven false.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,FAKE
"Health officials warn about flu season, but post is fake.",FAKE
New research published in peer-reviewed journal.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Government announces new education policy reforms.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Experts discuss economy growth trends for next year.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Rumors about vaccine side effects are proven false.,REAL
Rumors about vaccine side effects go viral online.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Government announces new education policy reforms.,FAKE
Report shows stock market steady growth over year.,REAL
Government announces new education policy reforms.,FAKE
Scientists report discovery of new treatment for flu.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
New research published in peer-reviewed journal.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Experts discuss economy growth trends for next year.,FAKE
Scientists report discovery of new treatment for flu.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Government announces new education policy reforms.,REAL
Government announces new education policy reforms.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Experts discuss economy growth trends for next year.,FAKE
Report shows stock market steady growth over year.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Government announces new education policy reforms.,FAKE
Health officials warn about flu season this winter.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
Experts discuss economy growth trends for next year.,REAL
Government announces new education policy reforms.,REAL
Rumors about vaccine side effects go viral online.,FAKE
New research published in peer-reviewed journal.,REAL
Rumors about vaccine side effects are proven false.,REAL
Rumors about vaccine side effects are proven false.,REAL
Celebrity announces new charity initiative.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Report shows stock market steady growth over year.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Experts discuss economy growth trends for next year.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Celebrity announces new charity initiative.,REAL
Report shows stock market steady growth over year.,REAL
Health officials warn about flu season this winter.,REAL
Experts discuss economy growth trends for next year.,REAL
Rumors about vaccine side effects are proven false.,REAL
Report shows stock market steady growth over year.,REAL
Rumors about vaccine side effects are proven false.,REAL
Experts discuss economy growth trends for next year.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Experts discuss economy growth trends for next year.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
Celebrity announces new charity initiative.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Report shows stock market steady growth over year.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Government announces new education policy reforms.,REAL
Rumors about vaccine side effects are proven false.,REAL
Health officials warn about flu season this winter.,REAL
New research published in peer-reviewed journal.,REAL
New research found to be fabricated according to reports.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Rumors about vaccine side effects are proven false.,REAL
Rumors about vaccine side effects go viral online.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Rumors about vaccine side effects are proven false.,REAL
Experts discuss economy growth trends for next year.,FAKE
Rumors about vaccine side effects are proven false.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Rumors about vaccine side effects are proven false.,REAL
Government announces new education policy reforms.,REAL
Experts discuss economy growth trends for next year.,FAKE
Rumors about vaccine side effects go viral online.,FAKE
New research published in peer-reviewed journal.,REAL
Rumors about vaccine side effects are proven false.,REAL
Experts discuss economy growth trends for next year.,FAKE
New research published in peer-reviewed journal.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
New research found to be fabricated according to reports.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
New research found to be fabricated according to reports.,FAKE
New research found to be fabricated according to reports.,FAKE
Rumors about vaccine side effects are proven false.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
New research found to be fabricated according to reports.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Celebrity announces new charity initiative.,REAL
Health officials warn about flu season this winter.,REAL
Experts discuss economy growth trends for next year.,REAL
Rumors about vaccine side effects are proven false.,REAL
Scientists report discovery of new treatment for flu.,REAL
Experts discuss economy growth trends for next year.,FAKE
Health officials warn about flu season this winter.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Report shows stock market steady growth over year.,REAL
Government announces new education policy reforms.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Health officials warn about flu season this winter.,REAL
Report shows stock market steady growth over year.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
Celebrity announces new charity initiative.,REAL
Government announces new education policy reforms.,REAL
Report shows stock market steady growth over year.,REAL
New research found to be fabricated according to reports.,FAKE
Government announces new education policy reforms.,FAKE
Government announces new education policy reforms.,FAKE
Report shows stock market steady growth over year.,REAL
New research published in peer-reviewed journal.,REAL
Celebrity announces new charity initiative.,REAL
Rumors about vaccine side effects are proven false.,REAL
Health officials warn about flu season this winter.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Report shows stock market steady growth over year.,REAL
Experts discuss economy growth trends for next year.,REAL
Government announces new education policy reforms.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Experts discuss economy growth trends for next year.,REAL
Government announces new education policy reforms.,FAKE
Rumors about vaccine side effects go viral online.,FAKE
Government announces new education policy reforms.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Experts discuss economy growth trends for next year.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Celebrity announces new charity initiative.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
Rumors about vaccine side effects are proven false.,REAL
Rumors about vaccine side effects are proven false.,REAL
Celebrity announces new charity initiative.,REAL
Experts discuss economy growth trends for next year.,FAKE
Government announces new education policy reforms.,FAKE
Report shows stock market steady growth over year.,REAL
Experts discuss economy growth trends for next year.,FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Report shows stock market steady growth over year.,REAL
Experts discuss economy growth trends for next year.,FAKE
Health officials warn about flu season this winter.,REAL
New research found to be fabricated according to reports.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
Celebrity announces new charity initiative.,REAL
New research found to be fabricated according to reports.,FAKE
Celebrity announces new charity initiative.,REAL
Rumors about vaccine side effects are proven false.,REAL
Experts discuss economy growth trends for next year.,FAKE
New research published in peer-reviewed journal.,REAL
New research published in peer-reviewed journal.,REAL
"Report claims stock market crash, economists deny it.",FAKE
New research published in peer-reviewed journal.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Health officials warn about flu season this winter.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Celebrity announces new charity initiative.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Report shows stock market steady growth over year.,REAL
Rumors about vaccine side effects are proven false.,REAL
New research found to be fabricated according to reports.,FAKE
Government announces new education policy reforms.,REAL
Rumors about vaccine side effects are proven false.,REAL
Rumors about vaccine side effects are proven false.,REAL
Health officials warn about flu season this winter.,REAL
Health officials warn about flu season this winter.,REAL
Health officials warn about flu season this winter.,REAL
New research published in peer-reviewed journal.,REAL
Celebrity announces new charity initiative.,REAL
Rumors about vaccine side effects are proven false.,REAL
Scientists report discovery of new treatment for flu.,REAL
New research published in peer-reviewed journal.,REAL
Celebrity announces new charity initiative.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Health officials warn about flu season this winter.,REAL
Government announces new education policy reforms.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Government announces new education policy reforms.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
New research found to be fabricated according to reports.,FAKE
Government announces new education policy reforms.,REAL
New research found to be fabricated according to reports.,FAKE
Health officials warn about flu season this winter.,REAL
Government announces new education policy reforms.,REAL
New research published in peer-reviewed journal.,REAL
Experts discuss economy growth trends for next year.,REAL
Experts discuss economy growth trends for next year.,REAL
Government announces new education policy reforms.,FAKE
Celebrity announces new charity initiative.,REAL
Rumors about vaccine side effects are proven false.,REAL
Report shows stock market steady growth over year.,REAL
Rumors about vaccine side effects go viral online.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
New research published in peer-reviewed journal.,REAL
Report shows stock market steady growth over year.,REAL
Government announces new education policy reforms.,REAL
Experts discuss economy growth trends for next year.,FAKE
Rumors about vaccine side effects go viral online.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,REAL
Report shows stock market steady growth over year.,REAL
New research published in peer-reviewed journal.,REAL
Rumors about vaccine side effects are proven false.,REAL
Celebrity announces new charity initiative.,REAL
New research found to be fabricated according to reports.,FAKE
Rumors about vaccine side effects are proven false.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Rumors about vaccine side effects are proven false.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Experts discuss economy growth trends for next year.,FAKE
Celebrity announces new charity initiative.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
New research published in peer-reviewed journal.,REAL
"Report claims stock market crash, economists deny it.",FAKE
New research found to be fabricated according to reports.,FAKE
Government announces new education policy reforms.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Government announces new education policy reforms.,FAKE
Government announces new education policy reforms.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Scientists report discovery, but the source is unverified.",FAKE
New research published in peer-reviewed journal.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
New research found to be fabricated according to reports.,FAKE
New research found to be fabricated according to reports.,FAKE
Health officials warn about flu season this winter.,REAL
Experts discuss economy growth trends for next year.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
New research published in peer-reviewed journal.,REAL
Report shows stock market steady growth over year.,REAL
Government announces new education policy reforms.,FAKE
Health officials warn about flu season this winter.,REAL
Experts discuss economy growth trends for next year.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Government announces new education policy reforms.,FAKE
New research found to be fabricated according to reports.,FAKE
Rumors about vaccine side effects are proven false.,REAL
New research found to be fabricated according to reports.,FAKE
Government announces new education policy reforms.,FAKE
Scientists report discovery of new treatment for flu.,REAL
New research found to be fabricated according to reports.,FAKE
New research found to be fabricated according to reports.,FAKE
Rumors about vaccine side effects are proven false.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
Experts discuss economy growth trends for next year.,REAL
Experts discuss economy growth trends for next year.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Celebrity announces new charity initiative.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
New research published in peer-reviewed journal.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Scientists report discovery of new treatment for flu.,REAL
Scientists report discovery of new treatment for flu.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
Celebrity announces new charity initiative.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
New research found to be fabricated according to reports.,FAKE
New research found to be fabricated according to reports.,FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Report shows stock market steady growth over year.,REAL
Health officials warn about flu season this winter.,REAL
Rumors about vaccine side effects go viral online.,FAKE
Rumors about vaccine side effects go viral online.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
New research published in peer-reviewed journal.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Scientists report discovery of new treatment for flu.,REAL
Government announces new education policy reforms.,REAL
Health officials warn about flu season this winter.,REAL
New research found to be fabricated according to reports.,FAKE
New research published in peer-reviewed journal.,REAL
Scientists report discovery of new treatment for flu.,REAL
Scientists report discovery of new treatment for flu.,REAL
Celebrity announces new charity initiative.,REAL
Report shows stock market steady growth over year.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
New research found to be fabricated according to reports.,FAKE
Government announces new education policy reforms.,FAKE
Rumors about vaccine side effects go viral online.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Experts discuss economy growth trends for next year.,FAKE
Experts discuss economy growth trends for next year.,REAL
Experts discuss economy growth trends for next year.,FAKE
Celebrity announces new charity initiative.,REAL
Government announces new education policy reforms.,FAKE
Government announces new education policy reforms.,REAL
Health officials warn about flu season this winter.,REAL
Rumors about vaccine side effects are proven false.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,REAL
"Report claims stock market crash, economists deny it.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
Scientists report discovery of new treatment for flu.,REAL
Celebrity announces new charity initiative.,REAL
Government announces new education policy reforms.,REAL
New research found to be fabricated according to reports.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Health officials warn about flu season this winter.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Report claims stock market crash, economists deny it.",FAKE
New research found to be fabricated according to reports.,FAKE
Rumors about vaccine side effects go viral online.,FAKE
New research found to be fabricated according to reports.,FAKE
Report shows stock market steady growth over year.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Report shows stock market steady growth over year.,REAL
Government announces new education policy reforms.,REAL
New research found to be fabricated according to reports.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Rumors about vaccine side effects are proven false.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Government announces new education policy reforms.,FAKE
New research published in peer-reviewed journal.,REAL
Health officials warn about flu season this winter.,REAL
Experts discuss economy growth trends for next year.,FAKE
"Health officials warn about flu season, but post is fake.",FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Health officials warn about flu season this winter.,REAL
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
New research found to be fabricated according to reports.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
"Health officials warn about flu season, but post is fake.",FAKE
New research found to be fabricated according to reports.,FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Rumors about vaccine side effects go viral online.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
"Health officials warn about flu season, but post is fake.",FAKE
Report shows stock market steady growth over year.,REAL
Experts discuss economy growth trends for next year.,REAL
Celebrity announces new charity initiative.,REAL
"Health officials warn about flu season, but post is fake.",FAKE
Rumors about vaccine side effects are proven false.,REAL
Health officials warn about flu season this winter.,REAL
Rumors about vaccine side effects go viral online.,FAKE
New research found to be fabricated according to reports.,FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Experts discuss economy growth trends for next year.,FAKE
Government announces new education policy reforms.,REAL
New research published in peer-reviewed journal.,REAL
Rumors about vaccine side effects are proven false.,REAL
"Scientists report discovery, but the source is unverified.",FAKE
Health officials warn about flu season this winter.,REAL
"Report claims stock market crash, economists deny it.",FAKE
"Scientists report discovery, but the source is unverified.",FAKE
Experts discuss economy growth trends for next year.,FAKE
"Report claims stock market crash, economists deny it.",FAKE
"Celebrity allegedly involved in scandal, no proof found.",FAKE
Health officials warn about flu season this winter.,REAL
